Download Time:2026/07/17 12:45:55,Search Date:2013/06/02 - 2016/01/01 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2015/11/29 16:38:00,38.3220,141.8580,47,4.1,100.4,1.4,2.3,70
2015/11/29 16:37:00,35.9350,136.3320,6,2.9,30.1,0.4,1.1,5
2015/11/29 03:44:00,36.0730,137.5480,7,2.8,36.5,0.6,2.0,7
2015/11/28 11:51:00,43.2230,146.5020,71,5.6,74.9,3.6,3.7,124
2015/11/27 21:51:00,40.1570,142.4750,33,4.4,20.4,0.5,2.4,81
2015/11/27 17:08:00,32.9720,130.9220,6,2.4,4.1,0.1,0.4,1
2015/11/26 06:51:00,42.0550,142.4820,68,3.9,7.7,0.2,1.5,34
2015/11/25 22:52:00,36.3720,136.5720,7,2.7,28.0,0.4,1.5,6
2015/11/24 13:07:00,34.9780,135.6950,11,3.6,92.0,2.1,2.6,36
2015/11/22 09:37:00,42.9070,146.2720,43,4.7,17.6,0.7,2.2,33
2015/11/22 08:20:00,36.4280,140.6870,52,4.8,147.5,3.4,3.5,184
2015/11/20 15:44:00,37.0170,141.1330,51,4.1,34.0,0.8,2.2,65
2015/11/20 08:15:00,36.6700,140.6520,10,4.3,136.5,2.7,3.5,125
2015/11/19 18:33:00,37.5330,141.4080,51,4.9,130.1,4.1,3.9,200
2015/11/19 12:39:00,37.1100,141.1070,53,4.0,93.5,1.6,2.9,64
2015/11/19 12:18:00,43.7500,144.7270,0,3.8,31.4,0.9,2.2,27
2015/11/19 08:30:00,39.6530,141.8730,66,3.9,48.3,1.2,3.0,57
2015/11/18 22:42:00,38.6170,141.9000,48,4.1,47.9,0.6,2.0,41
2015/11/18 10:21:00,34.2000,135.1320,7,2.8,34.8,0.4,1.5,3
2015/11/18 02:14:00,35.5780,136.3900,12,3.3,30.3,0.5,1.8,23
2015/11/16 16:31:00,31.1350,128.7950,1,4.6,5.5,0.3,1.6,7
2015/11/16 02:11:00,42.5400,143.1380,93,4.4,19.4,1.1,2.5,95
2015/11/15 21:40:00,40.6880,140.5150,13,2.8,8.4,0.1,0.5,7
2015/11/15 05:34:00,31.2230,128.6530,9,5.1,4.2,0.3,1.5,15
2015/11/15 04:20:00,31.3300,128.7170,9,5.9,18.2,1.2,2.8,65
2015/11/15 03:27:00,42.9830,145.8000,47,4.4,52.9,1.2,2.6,38
2015/11/14 19:21:00,38.0180,143.8100,44,5.1,7.7,0.3,1.6,102
2015/11/14 12:51:00,31.1930,128.6820,13,4.6,3.7,0.2,1.3,5
2015/11/14 10:11:00,31.2450,128.7100,9,4.3,2.8,0.2,1.0,5
2015/11/14 06:17:00,30.8620,128.5450,1,5.2,3.9,0.3,1.4,9
2015/11/14 05:51:00,30.9420,128.5900,17,7.1,58.0,6.6,4.1,199
2015/11/13 22:37:00,34.1950,135.1250,6,4.1,143.2,2.4,3.2,42
2015/11/13 14:12:00,38.9670,141.6580,73,4.3,73.2,0.9,2.5,110
2015/11/12 01:22:00,34.1970,135.1300,7,3.3,42.4,0.6,2.0,6
2015/11/12 00:33:00,24.4520,122.6970,97,5.0,10.7,0.6,1.9,3
2015/11/11 06:24:00,27.9530,130.2650,46,3.9,2.0,0.1,0.9,1
2015/11/11 00:50:00,42.9550,143.7580,116,3.9,11.2,0.4,1.7,30
2015/11/08 07:32:00,36.0070,137.3370,6,3.2,30.9,0.7,2.5,25
2015/11/07 22:45:00,35.9880,139.9600,101,4.9,67.7,2.7,3.7,291
2015/11/04 22:47:00,43.3370,146.0450,92,4.6,33.3,0.8,2.5,59
2015/11/04 08:56:00,35.9230,141.0880,21,4.2,15.5,0.4,2.0,49
2015/11/04 00:55:00,32.6650,132.0100,3,4.0,43.5,0.9,1.8,30
2015/11/04 00:01:00,34.4720,135.6100,12,3.5,48.9,1.1,2.4,25
2015/11/03 14:38:00,37.0230,139.3480,7,2.3,37.0,0.4,1.8,2
2015/11/02 12:34:00,40.4500,141.9720,66,3.9,81.7,1.8,3.0,62
2015/11/01 21:12:00,39.1120,142.4200,33,4.4,18.6,0.4,2.0,67
2015/11/01 12:49:00,41.5670,142.0670,65,5.2,43.2,1.3,3.0,227
2015/10/31 23:20:00,35.8600,140.6280,51,4.5,13.1,0.6,2.0,71
2015/10/31 16:56:00,39.8230,138.6520,37,4.8,6.6,0.3,1.5,74
2015/10/31 01:31:00,33.9730,135.6420,54,3.9,22.7,0.4,1.7,58
2015/10/30 19:32:00,39.7580,141.8370,58,3.7,28.0,0.5,2.2,43
2015/10/30 17:43:00,32.8830,130.8180,13,3.3,10.5,0.3,1.5,15
2015/10/30 16:22:00,32.8830,130.8170,13,3.2,22.1,0.3,1.4,13
2015/10/30 06:51:00,36.7080,139.3370,8,2.7,20.1,0.3,1.0,6
2015/10/29 21:42:00,36.8670,138.1620,7,2.6,6.7,0.2,1.2,5
2015/10/29 16:28:00,37.0900,138.8050,8,2.7,11.1,0.1,0.6,3
2015/10/29 11:56:00,36.0770,136.1150,10,3.5,26.8,0.6,2.3,20
2015/10/28 12:29:00,42.9670,146.4280,64,4.5,29.0,0.6,2.5,38
2015/10/28 03:08:00,34.5950,135.0500,7,2.5,45.8,0.4,1.5,1
2015/10/27 21:17:00,40.3750,142.2670,42,3.8,16.0,0.3,1.6,30
2015/10/27 18:12:00,35.4150,140.6370,39,3.4,9.2,0.3,1.1,13
2015/10/26 02:18:00,40.3520,142.0800,50,3.9,33.1,0.6,2.2,28
2015/10/25 17:15:00,35.5050,138.9520,21,4.3,179.9,2.1,3.1,141
2015/10/25 00:42:00,35.2220,139.1180,9,2.2,9.2,0.1,0.1,1
2015/10/24 13:26:00,42.7930,143.1550,97,3.8,17.3,0.7,2.1,45
2015/10/24 13:13:00,35.8020,140.0830,66,3.7,12.4,0.6,2.1,90
2015/10/23 01:18:00,39.3400,142.0600,48,4.6,79.9,0.9,2.6,71
2015/10/22 23:16:00,35.1880,132.9250,6,3.1,75.8,1.2,2.7,7
2015/10/22 09:51:00,39.0980,142.2080,43,3.9,18.4,0.3,1.5,25
2015/10/21 15:04:00,37.3130,141.1920,37,5.3,208.9,10.8,4.5,373
2015/10/21 04:47:00,42.5920,143.9880,62,4.0,20.7,0.6,2.2,46
2015/10/20 18:29:00,27.1270,140.6270,314,5.8,3.2,0.2,1.1,6
2015/10/20 09:53:00,34.1500,135.1670,4,3.0,62.8,1.0,2.1,5
2015/10/20 06:44:00,30.6420,131.5670,35,4.5,9.6,0.4,1.8,17
2015/10/19 22:57:00,35.4350,133.8970,8,2.7,6.1,0.1,0.9,2
2015/10/19 11:14:00,35.4330,133.8970,8,3.0,6.9,0.2,1.2,7
2015/10/18 10:21:00,35.4400,133.9130,8,2.8,8.2,0.1,0.6,3
2015/10/18 09:47:00,41.4920,142.0020,65,4.4,16.0,0.4,2.0,86
2015/10/18 08:36:00,35.4380,133.9120,8,4.3,39.4,1.5,2.7,31
2015/10/18 08:30:00,35.4370,133.9050,8,4.2,21.2,0.9,2.4,26
2015/10/18 01:16:00,40.3530,142.0780,51,3.9,29.9,0.5,2.1,29
2015/10/17 17:53:00,35.4370,133.9120,8,3.8,28.8,0.9,2.5,23
2015/10/17 14:17:00,43.1950,146.4320,51,4.5,24.4,0.8,2.4,23
2015/10/17 02:31:00,32.6680,129.9800,12,2.9,21.1,0.3,1.8,5
2015/10/16 17:33:00,40.4100,141.5900,111,4.1,10.1,0.3,1.7,45
2015/10/16 16:34:00,38.3100,141.9050,46,3.8,41.2,0.6,2.2,43
2015/10/16 10:59:00,36.3030,137.8870,4,2.3,8.8,0.2,1.0,1
2015/10/16 05:36:00,36.6270,139.4180,9,3.0,28.9,0.3,1.3,7
2015/10/15 05:35:00,35.4180,140.9670,18,4.0,20.7,0.5,1.8,19
2015/10/15 04:36:00,43.4370,146.0780,96,4.1,34.0,1.3,2.5,31
2015/10/13 23:58:00,38.8980,142.4950,41,3.9,18.4,0.3,1.4,48
2015/10/13 09:18:00,25.1870,125.0080,70,4.8,32.5,0.8,2.5,5
2015/10/11 07:16:00,43.0970,145.7820,51,3.7,11.2,0.3,1.7,18
2015/10/07 16:46:00,35.5530,138.9630,22,3.3,33.0,0.6,2.3,26
2015/10/06 19:17:00,38.7020,142.2470,39,4.5,26.4,0.4,1.7,71
2015/10/06 18:32:00,38.7000,142.2470,39,5.0,63.4,0.9,2.5,137
2015/10/06 18:09:00,39.7530,141.8430,58,3.7,27.0,0.5,2.1,43
2015/10/06 02:18:00,34.4100,135.8780,10,3.4,47.8,0.8,1.8,15
2015/10/05 21:45:00,36.5330,140.7670,18,3.3,54.9,0.6,1.8,16
2015/10/05 21:28:00,34.1420,135.1470,5,3.8,89.1,2.3,2.7,21
2015/10/04 04:35:00,38.2650,141.8520,47,4.0,24.7,0.4,1.5,52
2015/10/04 00:51:00,26.5800,128.2220,43,4.5,26.9,1.1,2.4,7
2015/10/03 08:29:00,38.6370,141.9050,48,3.8,26.1,0.3,1.7,26
2015/10/03 04:10:00,32.0680,130.2050,9,4.1,74.8,2.5,3.3,45
2015/10/02 20:36:00,28.2370,129.3600,11,3.3,30.7,0.4,1.0,2
2015/10/02 18:19:00,37.4430,138.0330,27,3.8,7.5,0.2,1.4,19
2015/10/01 22:42:00,26.6820,127.7720,47,3.9,9.4,0.4,1.5,5
2015/10/01 20:10:00,36.4420,140.8020,57,3.9,91.1,1.3,2.8,107
2015/09/30 11:53:00,38.4750,141.9120,61,3.8,26.9,0.3,1.6,36
2015/09/29 10:21:00,36.0570,137.5630,8,3.1,50.2,0.8,2.6,15
2015/09/29 01:33:00,39.6320,142.1050,48,3.9,69.4,1.6,2.7,51
2015/09/28 12:04:00,35.7980,140.8750,15,4.0,36.5,1.0,2.1,49
2015/09/26 20:22:00,35.7880,140.8920,17,4.0,28.7,0.7,1.8,45
2015/09/26 18:49:00,42.2120,141.9570,94,4.5,17.3,1.0,2.4,136
2015/09/26 03:13:00,33.0900,130.4300,10,3.4,34.3,0.5,1.9,24
2015/09/25 05:06:00,38.6370,141.8080,50,4.1,93.1,1.1,2.3,92
2015/09/24 19:58:00,34.8470,135.7150,12,3.6,50.2,1.2,2.3,46
2015/09/24 19:10:00,39.3800,142.0720,41,3.8,27.0,0.3,1.3,42
2015/09/24 15:19:00,40.0300,140.5300,9,3.9,94.9,1.6,3.1,47
2015/09/24 15:02:00,40.0280,140.5330,8,2.9,57.3,1.0,2.5,5
2015/09/23 23:44:00,36.3350,139.9620,77,3.7,14.1,0.5,2.3,54
2015/09/22 17:56:00,36.6970,141.0180,19,4.4,10.0,0.3,1.5,59
2015/09/22 15:59:00,36.6980,141.0170,18,4.1,11.8,0.3,1.9,47
2015/09/22 05:55:00,36.0170,140.0700,61,3.8,14.2,0.4,1.6,59
2015/09/19 23:01:00,43.4920,144.0630,0,3.9,67.4,2.8,3.3,26
2015/09/19 05:05:00,36.4000,141.0320,47,3.9,18.2,0.3,1.9,32
2015/09/18 06:42:00,41.3680,142.0570,62,4.3,18.5,0.6,2.2,68
2015/09/17 20:07:00,38.0470,139.9630,11,3.3,15.8,0.4,1.3,19
2015/09/16 05:53:00,35.9950,140.2070,41,3.9,61.7,1.8,2.8,110
2015/09/16 04:31:00,36.3430,138.0030,6,2.9,14.6,0.3,1.4,2
2015/09/15 20:49:00,37.3930,140.8920,76,3.8,27.3,0.4,1.9,39
2015/09/13 00:18:00,34.9180,133.0020,10,3.5,80.4,1.2,2.5,22
2015/09/12 22:38:00,41.8250,142.6700,56,5.4,82.1,4.9,3.8,203
2015/09/12 11:45:00,36.8080,141.2280,41,4.5,39.8,0.8,2.5,125
2015/09/12 08:38:00,39.1220,141.7670,67,3.7,24.3,0.3,1.6,42
2015/09/12 05:49:00,35.5530,139.8280,57,5.2,176.9,7.8,4.2,367
2015/09/11 15:45:00,43.1120,146.0030,45,4.3,19.0,0.6,2.3,15
2015/09/11 09:08:00,33.9220,135.6770,56,3.8,37.2,0.5,1.7,48
2015/09/08 20:22:00,34.6980,138.5180,23,4.6,57.8,2.9,3.2,126
2015/09/08 12:31:00,36.9830,138.4380,14,2.9,18.9,0.5,2.0,8
2015/09/08 11:15:00,37.4020,141.3370,30,4.1,25.4,0.6,1.7,36
2015/09/07 01:45:00,36.9670,141.2220,56,4.0,27.2,0.4,1.9,76
2015/09/06 13:02:00,42.1150,140.4850,10,2.8,18.9,0.4,1.7,4
2015/09/06 11:04:00,36.4470,136.2030,17,4.3,77.0,2.1,2.7,69
2015/09/06 08:53:00,36.9580,140.5350,8,4.0,38.0,0.7,2.2,50
2015/09/06 03:26:00,36.9020,140.6120,100,3.9,20.6,0.3,1.6,60
2015/09/05 13:18:00,38.6700,142.1550,42,4.5,30.4,0.8,2.3,91
2015/09/05 12:13:00,38.5330,141.8200,51,4.5,48.0,0.9,2.6,75
2015/09/04 13:49:00,29.3120,130.4580,45,5.3,5.7,0.5,2.0,4
2015/09/04 06:04:00,38.8150,141.5970,74,3.9,50.1,0.6,2.3,66
2015/09/04 04:52:00,33.4850,140.0030,107,4.7,37.4,1.8,3.1,22
2015/09/04 01:51:00,37.1530,143.4350,54,5.3,11.7,0.4,2.0,151
2015/09/02 22:56:00,34.8520,139.2830,13,3.5,21.0,0.8,2.2,19
2015/09/02 16:16:00,36.1970,139.9750,52,3.8,35.0,0.5,2.0,90
2015/09/02 16:07:00,33.2130,134.6400,30,4.5,17.2,0.8,2.5,46
2015/09/01 18:40:00,44.3330,141.7100,6,3.0,45.0,1.4,2.5,2
2015/09/01 00:29:00,34.6380,138.1880,10,4.3,38.2,1.1,2.6,59
2015/08/31 20:35:00,34.6330,138.1980,11,3.1,7.0,0.2,1.3,8
2015/08/30 14:30:00,29.7170,130.3850,53,4.8,12.5,0.3,1.3,11
2015/08/29 22:05:00,34.6370,138.1920,11,3.6,13.7,0.6,2.1,16
2015/08/29 15:00:00,45.1330,141.9430,0,2.8,9.5,0.3,1.4,4
2015/08/28 23:46:00,36.3530,140.9330,46,4.8,85.7,2.0,3.2,196
2015/08/28 10:12:00,32.1080,131.8630,35,3.5,14.4,0.2,1.5,11
2015/08/28 06:13:00,42.4700,142.6520,70,3.9,9.0,0.2,1.7,49
2015/08/27 23:02:00,35.2320,138.6220,16,3.3,54.3,1.0,2.9,19
2015/08/27 18:32:00,40.0920,141.6700,16,3.8,102.6,1.0,2.3,60
2015/08/27 12:23:00,42.7550,142.1480,137,4.4,9.0,0.6,2.1,63
2015/08/27 10:23:00,36.4030,138.0400,3,3.2,24.7,0.5,1.5,18
2015/08/26 16:23:00,37.2820,141.8000,44,4.5,12.0,0.4,1.6,48
2015/08/26 07:51:00,32.1070,131.8630,34,5.2,132.7,2.9,3.6,164
2015/08/25 14:57:00,38.6150,141.8980,48,3.6,63.0,0.9,2.2,38
2015/08/25 03:24:00,38.7220,142.1880,41,4.6,33.6,1.0,2.5,97
2015/08/24 14:49:00,37.2920,141.2120,16,5.1,19.6,1.6,2.6,87
2015/08/24 12:59:00,37.9720,142.4980,37,4.4,23.4,0.7,2.3,40
2015/08/23 20:23:00,39.5020,141.7230,13,3.6,47.4,0.6,1.6,23
2015/08/23 11:08:00,38.8150,141.5920,74,4.3,56.2,1.5,2.9,109
2015/08/22 21:14:00,41.9550,142.8900,43,4.5,30.3,1.4,2.9,55
2015/08/22 08:43:00,35.9920,140.2520,41,3.5,20.7,0.4,1.7,36
2015/08/22 07:57:00,36.0680,139.8770,46,3.5,13.9,0.2,1.7,49
2015/08/21 16:54:00,33.2880,132.1730,48,4.3,36.7,1.1,2.7,108
2015/08/21 04:32:00,36.0570,137.5630,8,3.8,269.1,7.0,4.5,40
2015/08/20 23:01:00,41.9470,142.2900,71,4.1,9.9,0.2,1.5,58
2015/08/20 21:57:00,38.7200,142.2530,40,4.8,33.0,0.8,2.4,109
2015/08/20 20:26:00,37.0600,139.3400,7,2.9,118.0,1.6,3.0,11
2015/08/19 21:21:00,40.1550,141.6650,110,3.9,23.8,0.3,1.7,56
2015/08/19 08:53:00,35.5380,138.9770,29,3.3,32.3,0.6,1.8,39
2015/08/18 15:49:00,36.6380,139.2580,7,2.7,13.2,0.1,0.7,2
2015/08/17 20:40:00,30.8050,131.1070,7,5.0,37.3,1.9,2.8,37
2015/08/16 08:44:00,37.4830,141.6120,45,4.4,19.3,0.7,1.9,74
2015/08/15 23:30:00,37.0620,139.3370,8,2.0,39.2,0.4,1.8,3
2015/08/14 18:48:00,33.8120,133.2730,38,3.8,56.7,0.8,2.4,61
2015/08/14 13:43:00,42.7520,143.1120,80,5.1,84.0,5.0,3.8,215
2015/08/14 05:13:00,37.1650,141.4370,49,5.1,50.9,2.1,3.2,285
2015/08/13 23:08:00,23.9450,122.3830,20,5.7,2.7,0.2,1.1,2
2015/08/13 09:42:00,35.6900,140.0670,70,3.6,7.4,0.2,1.5,55
2015/08/13 04:29:00,36.4220,140.6570,53,3.6,18.1,0.3,1.6,40
2015/08/12 20:38:00,40.2800,142.2170,41,3.8,12.3,0.3,1.4,28
2015/08/12 16:40:00,38.4220,141.1700,12,2.5,0.5,0.0,-1.4,1
2015/08/11 20:05:00,42.9270,145.4830,47,4.2,35.8,0.8,1.9,19
2015/08/11 12:31:00,24.8030,125.5100,19,4.2,20.4,0.5,1.7,2
2015/08/10 22:31:00,38.3220,141.8500,47,4.3,67.1,0.7,2.2,88
2015/08/10 18:44:00,36.0820,139.8830,46,4.1,39.7,0.8,2.6,113
2015/08/10 13:15:00,33.2770,135.4020,29,4.2,14.9,0.3,1.5,35
2015/08/10 11:34:00,38.8670,141.5950,75,4.4,99.2,1.5,3.0,118
2015/08/09 18:18:00,35.4100,140.0450,67,3.9,16.3,0.6,1.9,71
2015/08/09 11:08:00,38.2130,141.4470,66,3.9,50.6,0.6,2.1,47
2015/08/08 21:58:00,43.0180,145.7900,44,4.4,53.2,1.5,2.8,41
2015/08/08 06:43:00,38.9920,141.7470,68,4.0,26.5,0.3,1.7,57
2015/08/07 01:01:00,26.5550,127.9170,14,3.8,16.3,0.4,1.6,4
2015/08/06 18:22:00,36.4380,140.6180,55,5.2,280.8,9.1,4.5,344
2015/08/06 10:45:00,35.8300,140.9200,35,4.5,14.7,0.7,2.1,24
2015/08/05 20:56:00,37.5180,141.4670,50,5.0,142.2,6.7,4.0,246
2015/08/05 01:58:00,37.2020,141.0730,34,3.6,15.2,0.2,1.3,24
2015/08/04 05:13:00,35.8620,138.1120,7,3.7,37.3,0.7,2.1,62
2015/08/03 22:11:00,34.2500,134.7550,11,3.2,22.6,0.3,1.3,6
2015/08/03 14:30:00,37.7670,141.6150,49,5.1,105.2,3.4,3.4,206
2015/08/03 10:09:00,36.3700,136.5730,7,3.0,93.9,1.4,2.6,9
2015/08/01 23:24:00,38.3680,141.8280,63,4.7,89.6,1.4,2.8,157
2015/08/01 09:23:00,38.7130,142.2180,40,4.5,106.5,1.4,2.8,88
2015/07/31 13:16:00,40.9750,141.9970,56,3.6,12.9,0.3,1.3,14
2015/07/30 17:16:00,37.0970,140.6830,8,4.2,33.5,0.9,2.6,80
2015/07/29 21:35:00,36.0730,139.8580,45,4.0,32.1,0.6,2.1,112
2015/07/28 02:37:00,37.6570,139.9180,9,2.9,13.5,0.2,1.0,7
2015/07/25 04:30:00,35.5750,141.0450,38,4.7,12.5,0.6,1.9,38
2015/07/24 17:53:00,33.3880,132.3920,44,4.6,110.9,5.1,3.5,151
2015/07/23 18:43:00,41.9730,142.5430,65,4.5,23.2,0.6,2.4,90
2015/07/23 03:49:00,36.4800,140.9280,18,4.3,25.5,0.7,2.3,54
2015/07/21 18:17:00,37.8350,141.6980,65,4.9,69.7,2.0,3.3,216
2015/07/21 05:46:00,33.8730,134.8770,46,3.5,15.8,0.2,1.4,18
2015/07/20 22:56:00,37.1970,138.5580,10,3.5,21.5,0.3,1.9,16
2015/07/20 10:12:00,40.9850,141.4270,12,3.1,14.2,0.2,1.6,6
2015/07/19 02:13:00,31.0820,131.5030,32,4.7,24.3,1.3,2.8,38
2015/07/18 18:28:00,32.1430,131.8280,36,4.0,13.6,0.3,1.5,22
2015/07/17 18:32:00,32.6350,132.2950,34,3.9,30.4,0.5,1.9,19
