Download Time:2026/05/18 12:14:26,Search Date:2000/01/01 - 2012/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2011/09/17 06:36:00,40.1350,143.3910,5,5.8,8.6,0.9,2.4,149
2011/09/17 06:08:00,40.2440,143.2160,4,6.1,26.3,2.3,3.2,259
2011/09/17 05:11:00,40.2620,143.4840,5,5.7,4.8,0.4,1.7,77
2011/09/17 04:39:00,40.2390,143.1670,6,5.2,5.9,0.5,2.0,63
2011/09/17 04:26:00,40.2550,143.0890,7,6.6,43.9,3.7,3.7,420
2011/09/16 14:27:00,35.5690,141.0450,33,4.5,22.2,1.1,2.4,33
2011/09/15 17:00:00,36.2520,141.4860,51,6.3,97.7,5.2,3.9,442
2011/09/14 23:56:00,37.7350,141.7930,51,4.6,47.1,1.1,2.4,115
2011/09/13 23:14:00,38.9320,142.4170,35,4.7,52.7,0.9,2.7,104
2011/09/13 01:50:00,42.6920,142.5040,101,4.5,36.0,2.2,2.8,142
2011/09/10 15:00:00,36.4250,140.6960,53,4.8,147.2,4.9,4.1,208
2011/09/09 07:06:00,39.7950,142.2910,22,4.8,66.5,2.1,3.3,121
2011/09/08 22:38:00,37.2690,141.9260,40,5.2,28.7,1.0,2.7,196
2011/09/07 22:29:00,42.2570,142.5920,10,5.1,411.3,22.1,5.2,78
2011/09/07 14:42:00,38.6440,142.1690,42,4.6,27.4,0.5,2.0,82
2011/09/07 07:43:00,36.6300,141.7600,54,4.5,7.0,0.2,1.6,43
2011/09/07 02:54:00,36.6590,141.6910,36,5.2,14.1,0.9,2.3,142
2011/09/04 05:53:00,35.8690,139.6110,90,4.7,36.4,1.2,2.8,241
2011/09/02 13:08:00,39.0850,142.4170,33,4.5,40.9,0.6,2.2,89
2011/08/31 18:33:00,35.5540,140.1000,72,4.6,37.7,1.3,3.0,227
2011/08/30 22:44:00,39.1840,140.5810,155,4.9,45.1,0.7,2.7,199
2011/08/30 03:22:00,36.5050,140.9350,16,4.6,43.6,1.3,2.6,102
2011/08/29 17:06:00,37.1470,142.3570,14,4.5,5.9,0.2,1.5,40
2011/08/28 00:49:00,27.9910,129.4950,29,4.5,11.0,0.4,1.8,4
2011/08/27 23:29:00,37.0040,141.3900,28,4.8,27.1,0.8,2.5,94
2011/08/27 09:16:00,37.0140,141.4430,28,4.5,9.3,0.3,1.4,35
2011/08/22 20:23:00,36.1040,141.9860,34,6.1,15.0,1.6,2.7,227
2011/08/22 17:36:00,36.0820,140.1580,64,4.7,26.9,0.9,2.8,253
2011/08/22 09:07:00,42.6670,143.2720,25,4.7,76.8,3.8,3.8,116
2011/08/22 07:05:00,37.0840,141.1300,53,4.5,83.2,2.8,3.6,97
2011/08/21 07:58:00,38.6190,141.9590,50,4.8,160.5,3.2,3.5,142
2011/08/20 07:04:00,44.1220,147.4270,95,4.5,5.3,0.3,1.5,30
2011/08/19 14:36:00,37.6450,141.8000,51,6.5,276.7,10.0,4.5,630
2011/08/19 13:51:00,39.0950,142.1460,45,4.5,60.4,1.0,2.6,92
2011/08/17 20:44:00,36.7650,143.7670,52,6.2,16.1,0.7,2.3,315
2011/08/17 16:55:00,35.5140,140.9630,41,4.5,5.9,0.4,1.7,22
2011/08/17 12:14:00,38.4650,142.1970,28,4.5,67.8,1.1,2.8,128
2011/08/17 12:05:00,38.4570,142.1910,31,5.1,140.3,2.2,3.3,200
2011/08/17 04:35:00,40.1200,142.4490,35,5.4,47.9,1.7,3.1,193
2011/08/16 19:16:00,36.8240,140.5750,6,4.6,414.9,11.0,4.6,149
2011/08/15 15:26:00,36.1240,140.0830,64,4.7,60.3,2.8,3.4,214
2011/08/13 23:00:00,37.0050,141.4010,26,5.0,22.3,0.9,2.6,73
2011/08/12 04:37:00,34.4050,138.0850,27,5.2,13.7,1.3,2.5,102
2011/08/12 03:22:00,36.9650,141.1630,52,6.1,355.6,13.6,4.7,581
2011/08/11 22:31:00,38.4450,142.2340,30,5.3,126.3,2.8,3.3,228
2011/08/11 10:26:00,36.1620,141.3460,48,4.6,25.4,0.5,2.1,70
2011/08/10 08:13:00,34.0470,135.5230,61,4.7,244.2,4.3,3.7,170
2011/08/10 04:35:00,36.1920,141.3700,48,4.5,32.0,1.0,2.3,69
2011/08/07 12:33:00,36.7250,140.5980,7,4.7,253.7,3.9,3.7,167
2011/08/06 16:15:00,35.3350,141.1600,28,5.2,20.9,1.5,2.5,97
2011/08/05 20:16:00,37.1170,140.8500,7,4.7,103.9,2.9,3.1,115
2011/08/05 19:53:00,40.1200,142.4820,34,4.9,113.5,2.8,3.8,140
2011/08/02 00:23:00,36.8220,141.3130,37,4.8,17.7,0.7,2.4,66
2011/08/01 23:58:00,34.7050,138.5500,23,6.2,301.8,12.2,4.7,497
2011/08/01 22:47:00,39.1820,142.3910,29,4.5,18.6,0.3,1.7,53
2011/08/01 22:44:00,39.8120,142.2570,43,5.8,200.2,5.5,4.2,270
2011/08/01 15:55:00,38.6500,142.1540,42,4.6,34.0,1.2,2.7,99
2011/08/01 13:29:00,36.7420,141.7950,52,4.8,18.3,0.6,2.2,91
2011/08/01 04:33:00,38.7190,142.3440,43,4.6,43.3,0.6,2.2,97
2011/08/01 02:36:00,41.7050,143.0160,37,5.5,99.7,4.2,3.9,217
2011/07/31 03:54:00,36.8990,141.2230,57,6.5,496.6,17.3,5.2,708
2011/07/29 23:53:00,36.6840,142.1360,29,5.6,19.5,1.5,2.9,247
2011/07/28 18:01:00,40.2920,143.5270,3,5.7,11.6,0.7,2.3,122
2011/07/27 23:49:00,40.0990,142.8010,25,4.9,16.5,0.7,2.2,98
2011/07/26 07:58:00,42.0390,142.5090,67,4.8,52.3,2.1,3.1,210
2011/07/26 06:33:00,39.0290,142.7490,24,4.9,17.7,0.6,2.0,95
2011/07/26 05:39:00,38.5340,141.8220,50,4.6,61.5,0.8,2.2,109
2011/07/25 20:55:00,35.2400,141.2350,37,5.7,22.4,5.7,3.6,141
2011/07/25 20:04:00,38.5600,142.0810,45,5.2,82.2,2.1,3.1,199
2011/07/25 03:51:00,37.7050,141.6300,46,6.3,343.1,12.6,4.6,584
2011/07/25 00:07:00,38.8400,142.1210,44,5.2,85.0,1.8,3.0,162
2011/07/24 23:32:00,33.9170,136.1410,42,4.8,213.3,4.2,4.0,170
2011/07/23 13:34:00,38.8700,142.0940,47,6.4,323.0,16.7,5.0,484
2011/07/21 04:18:00,27.2280,128.3170,59,5.2,132.1,6.6,4.1,12
2011/07/19 10:39:00,37.3220,141.7600,31,5.4,34.2,1.3,2.8,189
2011/07/15 21:01:00,36.1600,140.0860,66,5.4,140.2,6.5,4.2,400
2011/07/14 13:10:00,36.8920,141.5210,29,5.4,16.3,0.9,2.2,87
2011/07/14 10:35:00,38.4320,141.8420,57,4.8,144.0,2.0,3.1,168
2011/07/13 16:19:00,24.9910,123.7970,116,5.1,14.9,0.3,1.6,5
2011/07/13 05:47:00,37.2870,141.1760,14,5.3,31.5,2.6,3.3,102
2011/07/13 00:37:00,38.3270,142.0110,47,5.1,86.2,3.7,3.6,187
2011/07/12 18:40:00,37.6150,142.0520,25,4.5,8.2,0.3,1.4,47
2011/07/12 18:00:00,38.7570,142.0660,57,4.8,196.5,2.8,3.6,150
2011/07/11 13:29:00,39.3390,142.0640,48,5.1,125.5,3.2,3.8,137
2011/07/11 10:36:00,38.4200,142.2060,35,4.6,62.1,0.9,2.5,98
2011/07/10 09:57:00,38.0290,143.5110,34,7.3,75.6,7.2,3.7,774
2011/07/08 22:10:00,39.8370,142.2490,43,4.9,99.0,1.5,3.0,109
2011/07/08 22:08:00,38.4240,142.1990,30,4.5,42.3,0.5,2.1,86
2011/07/08 03:35:00,37.0940,141.1310,55,5.6,265.5,10.6,4.6,450
2011/07/07 14:10:00,37.5790,142.0340,29,4.7,13.4,0.5,1.9,105
2011/07/07 13:02:00,38.0150,142.3060,38,4.7,14.0,0.3,1.7,86
2011/07/07 00:15:00,36.3700,141.7900,76,5.9,26.5,3.1,3.2,267
2011/07/05 19:34:00,33.9920,135.2450,7,4.5,634.5,13.3,4.1,85
2011/07/05 19:18:00,33.9870,135.2360,7,5.5,1084.1,26.3,4.9,340
2011/07/05 01:06:00,40.1590,142.3810,37,4.5,18.4,0.8,2.3,87
2011/07/04 19:45:00,40.1040,142.6940,28,4.5,7.3,0.4,1.7,61
2011/07/04 05:41:00,37.9090,142.5820,39,4.5,5.5,0.2,1.2,39
2011/07/01 13:19:00,37.5940,142.0110,24,4.5,6.7,0.2,1.5,75
2011/06/30 19:22:00,37.3400,141.5910,43,4.8,52.8,1.8,3.2,174
2011/06/30 08:21:00,36.1850,137.9560,4,5.1,60.4,3.8,3.5,72
2011/06/30 08:16:00,36.1850,137.9560,4,5.4,119.3,7.3,4.2,163
2011/06/30 07:14:00,35.7320,140.6210,51,4.6,39.8,1.2,2.6,82
2011/06/28 00:04:00,35.8140,141.0010,18,4.5,22.9,0.7,2.3,60
