Download Time:2026/05/18 12:16:32,Search Date:2012/01/02 - 2024/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2023/08/26 22:29:00,33.9220,131.8890,74,4.6,66.6,1.4,3.0,232
2023/08/25 07:48:00,39.4840,143.3420,15,6.0,30.3,3.0,3.4,181
2023/08/23 00:03:00,40.1890,141.9220,15,4.7,235.2,5.4,3.9,86
2023/08/19 23:21:00,43.5900,146.1120,76,4.5,74.1,2.2,3.0,38
2023/08/19 03:33:00,42.3490,143.1010,51,5.1,105.1,2.7,3.3,172
2023/08/16 02:07:00,24.8310,125.3940,46,4.6,43.9,1.4,2.6,2
2023/08/11 22:20:00,38.6750,142.3710,58,4.7,25.4,0.6,2.0,112
2023/08/11 09:14:00,41.1220,142.9160,28,6.2,65.0,6.0,4.1,353
2023/08/07 03:32:00,30.7730,131.5050,37,4.7,14.4,0.8,2.4,31
2023/08/07 03:12:00,30.7630,131.4800,43,5.4,23.9,1.6,2.9,63
2023/07/29 19:34:00,36.3440,139.9610,77,4.6,40.1,1.4,3.0,240
2023/07/27 20:06:00,43.9900,147.6210,85,5.2,11.7,0.4,2.0,42
2023/07/26 21:37:00,36.6240,132.7480,37,4.5,14.6,0.4,1.8,46
2023/07/22 21:14:00,32.6120,132.2290,37,5.0,65.9,3.6,3.5,115
2023/07/22 10:52:00,36.4370,140.6910,52,4.8,146.3,3.5,3.6,189
2023/07/17 09:37:00,42.7840,143.3610,111,4.5,51.6,2.3,3.1,77
2023/07/13 13:43:00,40.0320,142.7260,34,5.0,11.9,0.7,2.2,86
2023/07/10 04:52:00,35.6570,140.4210,66,4.5,10.3,0.8,2.0,120
2023/07/01 23:38:00,35.5500,140.9900,36,4.9,15.1,0.7,2.0,38
2023/06/28 12:08:00,35.6890,141.4200,9,4.5,13.5,0.6,1.9,34
2023/06/28 08:39:00,42.1550,134.4700,518,6.3,14.8,0.8,2.5,121
2023/06/24 09:58:00,37.2820,141.8130,40,5.0,22.8,0.8,2.6,110
